Voltaje	Corriente
0.789811	0.000305
0.779411	0.000284
0.769411	0.000265
0.759611	0.000249
0.749411	0.000233
0.739410	0.000219
0.729410	0.000206
0.719410	0.000194
0.709610	0.000183
0.699409	0.000172
0.689609	0.000162
0.679609	0.000152
0.669609	0.000143
0.659409	0.000135
0.649608	0.000127
0.639608	0.000119
0.629608	0.000112
0.619408	0.000105
0.609607	0.000098
0.599607	0.000092
0.589407	0.000085
0.579607	0.000080
0.569606	0.000074
0.559606	0.000069
0.549606	0.000063
0.539406	0.000058
0.529406	0.000054
0.519405	0.000049
0.509605	0.000044
0.499605	0.000040
0.489805	0.000035
0.479604	0.000033
0.469604	0.000028
0.459604	0.000024
0.449604	0.000020
0.439604	0.000017
0.429603	0.000013
0.419803	0.000010
0.409603	0.000006
0.399603	0.000003
0.389602	-0.000001
0.379602	-0.000004
0.369802	-0.000007
0.359802	-0.000010
0.349601	-0.000013
0.339601	-0.000016
0.329601	-0.000019
0.319801	-0.000022
0.309801	-0.000025
0.299800	-0.000028
0.290000	-0.000031
0.279800	-0.000034
0.270000	-0.000037
0.259799	-0.000039
0.249799	-0.000042
0.239799	-0.000045
0.229799	-0.000059
0.219799	-0.000045
0.209798	-0.000055
0.199798	-0.000057
0.189798	-0.000059
0.179798	-0.000062
0.169797	-0.000065
0.159797	-0.000068
0.149597	-0.000071
0.139597	-0.000073
0.129796	-0.000076
0.119796	-0.000079
0.109796	-0.000081
0.099996	-0.000084
0.089796	-0.000087
0.079795	-0.000090
0.069995	-0.000092
0.059995	-0.000095
0.049995	-0.000098
0.039994	-0.000100
0.029994	-0.000103
0.019994	-0.000106
0.009994	-0.000109
-0.000206	-0.000112
-0.010007	-0.000114
-0.020007	-0.000117
-0.030207	-0.000120
-0.040007	-0.000122
-0.050008	-0.000125
-0.060008	-0.000128
-0.070008	-0.000131
-0.080008	-0.000133
-0.089808	-0.000136
-0.100009	-0.000139
-0.110209	-0.000142
-0.120209	-0.000145
-0.130009	-0.000147
-0.140010	-0.000150
-0.149810	-0.000153
-0.160010	-0.000155
-0.170010	-0.000158
-0.179811	-0.000161
-0.189811	-0.000164
-0.199811	-0.000167
-0.210011	-0.000169
-0.220011	-0.000172
-0.230012	-0.000175
-0.239812	-0.000178
-0.249812	-0.000181
-0.260012	-0.000184
-0.270013	-0.000186
-0.279813	-0.000189
-0.289813	-0.000192
-0.300013	-0.000195
-0.309814	-0.000198
-0.319814	-0.000200
-0.329814	-0.000203
-0.339814	-0.000206
-0.349814	-0.000209
-0.360015	-0.000212
-0.369815	-0.000215
-0.379815	-0.000218
-0.389815	-0.000221
-0.400016	-0.000224
-0.409816	-0.000227
-0.419616	-0.000230
-0.429816	-0.000232
-0.439817	-0.000236
-0.449817	-0.000239
-0.459817	-0.000242
-0.469817	-0.000245
-0.479817	-0.000248
-0.489818	-0.000251
-0.499818	-0.000254
-0.509618	-0.000258
-0.519618	-0.000261
-0.529819	-0.000264
-0.539619	-0.000267
-0.549619	-0.000270
-0.559419	-0.000274
-0.569619	-0.000277
-0.579620	-0.000281
-0.589620	-0.000284
-0.599620	-0.000288
-0.609820	-0.000292
-0.619621	-0.000296
-0.629821	-0.000299
-0.639621	-0.000303
-0.649421	-0.000307
-0.659421	-0.000311
-0.669622	-0.000316
-0.679622	-0.000320
-0.689622	-0.000325
-0.699622	-0.000329
-0.709623	-0.000334
-0.719623	-0.000339
-0.729623	-0.000344
-0.739623	-0.000349
-0.749624	-0.000355
-0.759424	-0.000361
-0.769624	-0.000366
-0.779624	-0.000372
-0.789424	-0.000379
-0.799625	-0.000386
-0.790224	-0.000346
-0.780024	-0.000320
-0.770024	-0.000298
-0.760024	-0.000279
-0.750024	-0.000261
-0.740223	-0.000245
-0.730023	-0.000230
-0.720023	-0.000216
-0.710223	-0.000203
-0.700222	-0.000191
-0.690022	-0.000179
-0.680222	-0.000168
-0.670022	-0.000158
-0.660022	-0.000148
-0.650221	-0.000139
-0.640021	-0.000131
-0.630021	-0.000122
-0.620021	-0.000115
-0.610020	-0.000107
-0.600020	-0.000100
-0.590020	-0.000093
-0.580020	-0.000086
-0.570019	-0.000080
-0.560219	-0.000074
-0.550019	-0.000068
-0.540219	-0.000063
-0.530219	-0.000057
-0.520018	-0.000052
-0.510218	-0.000047
-0.500218	-0.000043
-0.490218	-0.000038
-0.480217	-0.000033
-0.470017	-0.000030
-0.460217	-0.000025
-0.450417	-0.000022
-0.440216	-0.000018
-0.430416	-0.000014
-0.420216	-0.000010
-0.410216	-0.000007
-0.400416	-0.000003
-0.390215	0.000000
-0.380215	0.000004
-0.370215	0.000007
-0.360215	0.000010
-0.350214	0.000014
-0.340414	0.000017
-0.330214	0.000020
-0.320214	0.000023
-0.310414	0.000026
-0.300413	0.000029
-0.290213	0.000032
-0.280213	0.000035
-0.270413	0.000038
-0.260412	0.000041
-0.250212	0.000044
-0.240412	0.000047
-0.230412	0.000061
-0.220411	0.000047
-0.210411	0.000057
-0.200211	0.000059
-0.190411	0.000062
-0.180411	0.000065
-0.170210	0.000068
-0.160210	0.000071
-0.150210	0.000074
-0.140410	0.000077
-0.130409	0.000080
-0.120409	0.000082
-0.110409	0.000085
-0.100409	0.000088
-0.090608	0.000091
-0.080408	0.000094
-0.070408	0.000097
-0.060408	0.000100
-0.050608	0.000103
-0.040407	0.000106
-0.030407	0.000109
-0.020407	0.000112
-0.010607	0.000115
-0.000406	0.000118
0.009594	0.000121
0.019394	0.000124
0.029594	0.000127
0.039594	0.000130
0.049395	0.000133
0.059595	0.000135
0.069395	0.000138
0.079395	0.000141
0.089595	0.000144
0.099396	0.000147
0.109396	0.000150
0.119396	0.000153
0.129396	0.000156
0.139397	0.000159
0.149197	0.000162
0.159597	0.000165
0.169397	0.000168
0.179398	0.000171
0.189398	0.000174
0.199398	0.000177
0.209398	0.000179
0.219399	0.000182
0.229399	0.000185
0.239399	0.000188
0.249199	0.000191
0.259399	0.000194
0.269400	0.000196
0.279200	0.000199
0.289400	0.000202
0.299400	0.000205
0.309401	0.000208
0.319401	0.000210
0.329401	0.000213
0.339201	0.000216
0.349401	0.000219
0.359202	0.000221
0.369002	0.000224
0.379002	0.000227
0.389402	0.000229
0.399403	0.000232
0.409203	0.000235
0.419203	0.000238
0.429203	0.000240
0.439203	0.000243
0.449204	0.000246
0.459204	0.000248
0.469204	0.000251
0.479004	0.000254
0.489005	0.000256
0.499205	0.000259
0.509205	0.000262
0.519005	0.000264
0.529206	0.000267
0.539006	0.000269
0.549206	0.000272
0.559206	0.000274
0.569006	0.000277
0.579007	0.000280
0.589007	0.000282
0.599007	0.000285
0.609007	0.000287
0.619008	0.000289
0.629208	0.000292
0.639208	0.000294
0.649008	0.000297
0.659009	0.000299
0.669009	0.000302
0.679009	0.000304
0.689009	0.000307
0.699009	0.000309
0.709010	0.000312
0.719010	0.000315
0.729010	0.000317
0.739210	0.000320
0.749211	0.000322
0.758811	0.000325
0.769211	0.000328
0.779011	0.000330
0.789211	0.000333
0.799012	0.000336
