Voltaje	Corriente
0.788811	0.000227
0.779011	0.000211
0.769011	0.000196
0.759211	0.000183
0.749011	0.000171
0.739210	0.000160
0.729210	0.000150
0.719210	0.000141
0.709210	0.000132
0.699209	0.000124
0.689009	0.000117
0.679209	0.000110
0.669009	0.000103
0.659009	0.000097
0.649208	0.000091
0.639208	0.000085
0.629008	0.000080
0.619208	0.000075
0.609207	0.000070
0.599007	0.000065
0.589007	0.000061
0.579207	0.000057
0.569406	0.000053
0.559206	0.000049
0.549006	0.000045
0.539206	0.000042
0.529206	0.000038
0.519405	0.000035
0.509405	0.000031
0.499005	0.000028
0.489405	0.000025
0.479204	0.000022
0.469204	0.000020
0.459404	0.000017
0.449204	0.000014
0.439404	0.000011
0.429203	0.000009
0.419003	0.000006
0.409203	0.000004
0.399203	0.000001
0.389402	-0.000001
0.379202	-0.000003
0.369202	-0.000006
0.359402	-0.000008
0.349401	-0.000010
0.339201	-0.000012
0.329401	-0.000015
0.319201	-0.000017
0.309401	-0.000019
0.299400	-0.000021
0.289400	-0.000023
0.279400	-0.000025
0.269400	-0.000027
0.259199	-0.000029
0.249399	-0.000031
0.239399	-0.000033
0.229399	-0.000035
0.219399	-0.000037
0.209198	-0.000039
0.199398	-0.000041
0.189398	-0.000043
0.179398	-0.000044
0.169397	-0.000046
0.159597	-0.000041
0.149397	-0.000050
0.139597	-0.000052
0.129396	-0.000054
0.119196	-0.000055
0.109396	-0.000057
0.099396	-0.000059
0.089595	-0.000061
0.079395	-0.000062
0.069395	-0.000064
0.059395	-0.000066
0.049395	-0.000068
0.039394	-0.000069
0.029394	-0.000071
0.019394	-0.000073
0.009394	-0.000075
-0.000606	-0.000076
-0.010407	-0.000078
-0.020607	-0.000080
-0.030407	-0.000082
-0.040607	-0.000083
-0.050608	-0.000085
-0.060408	-0.000087
-0.070408	-0.000088
-0.080408	-0.000090
-0.090409	-0.000092
-0.100409	-0.000093
-0.110409	-0.000095
-0.120409	-0.000097
-0.130409	-0.000099
-0.140210	-0.000101
-0.150410	-0.000102
-0.160210	-0.000104
-0.170410	-0.000106
-0.180411	-0.000107
-0.190411	-0.000109
-0.200411	-0.000111
-0.210211	-0.000112
-0.220611	-0.000114
-0.230412	-0.000116
-0.240412	-0.000117
-0.250212	-0.000119
-0.260412	-0.000121
-0.270413	-0.000122
-0.280213	-0.000124
-0.290413	-0.000126
-0.300413	-0.000127
-0.310414	-0.000129
-0.320414	-0.000131
-0.330214	-0.000132
-0.340214	-0.000134
-0.350414	-0.000136
-0.360215	-0.000138
-0.370415	-0.000139
-0.380215	-0.000141
-0.390215	-0.000143
-0.400416	-0.000145
-0.410416	-0.000146
-0.420216	-0.000148
-0.430016	-0.000150
-0.440216	-0.000152
-0.450417	-0.000154
-0.460217	-0.000156
-0.470017	-0.000158
-0.480217	-0.000159
-0.490218	-0.000161
-0.500218	-0.000163
-0.510018	-0.000165
-0.520218	-0.000167
-0.530019	-0.000169
-0.540219	-0.000171
-0.550019	-0.000174
-0.559819	-0.000176
-0.570019	-0.000178
-0.580020	-0.000180
-0.590020	-0.000183
-0.600220	-0.000185
-0.610020	-0.000188
-0.620221	-0.000190
-0.630021	-0.000193
-0.640021	-0.000195
-0.650221	-0.000198
-0.660022	-0.000201
-0.670022	-0.000205
-0.680022	-0.000208
-0.690022	-0.000211
-0.700022	-0.000214
-0.710223	-0.000218
-0.720023	-0.000222
-0.730023	-0.000226
-0.740023	-0.000230
-0.750024	-0.000235
-0.760024	-0.000240
-0.770024	-0.000245
-0.780224	-0.000250
-0.790224	-0.000256
-0.800025	-0.000262
-0.789624	-0.000238
-0.779824	-0.000220
-0.769824	-0.000203
-0.759824	-0.000189
-0.749824	-0.000176
-0.739823	-0.000164
-0.729823	-0.000153
-0.719823	-0.000142
-0.709823	-0.000133
-0.699822	-0.000124
-0.689622	-0.000115
-0.679822	-0.000108
-0.669622	-0.000100
-0.659822	-0.000094
-0.650021	-0.000087
-0.639621	-0.000081
-0.629821	-0.000076
-0.619821	-0.000070
-0.609820	-0.000065
-0.600020	-0.000060
-0.589820	-0.000055
-0.579620	-0.000051
-0.569619	-0.000047
-0.559819	-0.000043
-0.550019	-0.000039
-0.539819	-0.000036
-0.530019	-0.000032
-0.519818	-0.000028
-0.510018	-0.000025
-0.500018	-0.000022
-0.489818	-0.000019
-0.479817	-0.000016
-0.469817	-0.000013
-0.459817	-0.000011
-0.449817	-0.000008
-0.439817	-0.000006
-0.429816	-0.000003
-0.419816	-0.000001
-0.409816	0.000001
-0.400216	0.000004
-0.389815	0.000006
-0.380015	0.000008
-0.370015	0.000010
-0.360015	0.000012
-0.350014	0.000014
-0.340014	0.000016
-0.330214	0.000018
-0.319814	0.000020
-0.309814	0.000022
-0.300013	0.000024
-0.290013	0.000026
-0.280013	0.000028
-0.270013	0.000030
-0.260212	0.000032
-0.250012	0.000034
-0.240012	0.000036
-0.230012	0.000038
-0.220211	0.000040
-0.210011	0.000042
-0.200011	0.000043
-0.190211	0.000045
-0.180211	0.000041
-0.170010	0.000049
-0.160010	0.000051
-0.150010	0.000053
-0.140010	0.000055
-0.130209	0.000057
-0.120009	0.000059
-0.110209	0.000061
-0.100209	0.000063
-0.090208	0.000065
-0.080008	0.000067
-0.070008	0.000069
-0.060208	0.000071
-0.050208	0.000073
-0.040007	0.000075
-0.030207	0.000077
-0.020207	0.000078
-0.010207	0.000080
-0.000206	0.000082
0.009594	0.000084
0.019594	0.000086
0.029794	0.000088
0.039794	0.000090
0.049595	0.000092
0.059795	0.000094
0.069795	0.000096
0.079795	0.000098
0.089796	0.000100
0.099796	0.000101
0.109796	0.000103
0.119796	0.000105
0.129596	0.000107
0.139597	0.000109
0.149597	0.000111
0.159597	0.000113
0.169797	0.000115
0.179798	0.000117
0.189798	0.000119
0.199598	0.000121
0.209598	0.000122
0.219599	0.000124
0.229599	0.000126
0.239599	0.000128
0.249599	0.000130
0.259599	0.000132
0.269600	0.000134
0.279800	0.000136
0.289600	0.000137
0.299600	0.000139
0.309801	0.000141
0.319601	0.000143
0.329601	0.000145
0.339601	0.000147
0.349601	0.000148
0.359602	0.000150
0.369602	0.000152
0.379602	0.000154
0.389402	0.000156
0.399603	0.000158
0.409403	0.000159
0.419403	0.000161
0.429603	0.000163
0.439404	0.000165
0.449604	0.000167
0.459604	0.000169
0.469604	0.000170
0.479604	0.000172
0.489405	0.000174
0.499605	0.000176
0.509405	0.000178
0.519405	0.000180
0.529606	0.000181
0.539606	0.000183
0.549406	0.000185
0.559406	0.000186
0.569606	0.000188
0.579407	0.000190
0.589407	0.000192
0.599407	0.000193
0.609607	0.000195
0.619208	0.000197
0.629608	0.000199
0.639608	0.000201
0.649408	0.000203
0.659409	0.000205
0.669409	0.000207
0.679409	0.000210
0.689609	0.000212
0.699209	0.000214
0.709610	0.000217
0.719410	0.000219
0.729410	0.000222
0.739410	0.000224
0.749411	0.000227
0.759411	0.000230
0.769411	0.000234
0.779411	0.000237
0.789211	0.000241
0.799412	0.000245
