Freq	Zreal	Zimag
1000020	1.47582400000000	-0.136505600000000
794355.500000000	1.54823200000000	-0.245013700000000
630996.100000000	1.59637700000000	-0.181692700000000
501269.500000000	1.59502900000000	-0.191895700000000
398144.500000000	1.70950500000000	-0.290698000000000
316230.500000000	1.75484700000000	-0.320644100000000
251191.400000000	1.81693900000000	-0.366936500000000
199628.900000000	1.81929000000000	-0.400620200000000
158496.100000000	1.86114800000000	-0.441831600000000
125918	1.90376100000000	-0.529367100000000
100019.500000000	1.94029900000000	-0.576300300000000
79511.7200000000	2.01835300000000	-0.642020800000000
63105.4700000000	2.03107300000000	-0.784668000000000
50214.8400000000	2.13920100000000	-0.898929400000000
39902.3400000000	2.24044600000000	-1.06758300000000
31699.2200000000	2.30469500000000	-1.24918200000000
25136.7200000000	2.39454800000000	-1.48117600000000
19980.4700000000	2.50656400000000	-1.75494100000000
15878.9100000000	2.65825800000000	-2.09367300000000
12597.6600000000	2.82415700000000	-2.49070900000000
10019.5300000000	3.01551600000000	-2.96842800000000
7928.24100000000	3.26533000000000	-3.56430800000000
6307.87100000000	3.56351400000000	-4.22356800000000
5034.72200000000	3.92356600000000	-5.01006100000000
3993.05600000000	4.34249600000000	-5.90219100000000
3144.05500000000	4.89042000000000	-7.06728400000000
2519.53100000000	5.50456900000000	-8.33158700000000
2000.76200000000	6.26649000000000	-9.86471000000000
1580.66900000000	7.20636300000000	-11.7052000000000
1253.63400000000	8.30988700000000	-13.8223300000000
1000.70200000000	9.59544000000000	-16.2282400000000
790.028100000000	11.2030000000000	-19.1668800000000
628.811000000000	13.0630400000000	-22.4729800000000
502.232100000000	15.2289100000000	-26.2484900000000
400.152400000000	17.8223400000000	-30.6382300000000
315.504800000000	21.0405300000000	-35.9582700000000
252.016100000000	24.6396100000000	-41.7636700000000
200.320500000000	28.9566800000000	-48.5482500000000
158.005600000000	34.2240300000000	-56.5691800000000
125.558000000000	38.8730800000000	-64.6503100000000
99.7340000000000	46.9273900000000	-75.3432200000000
79.4491500000000	56.1347200000000	-86.1075700000000
62.9194600000000	65.7717400000000	-99.0414000000000
49.8670200000000	76.8301000000000	-113.322600000000
38.4221300000000	91.0983000000000	-131.050100000000
31.2500000000000	103.974100000000	-146.393000000000
24.9335100000000	120.360600000000	-164.184700000000
20.0320500000000	137.462900000000	-182.620200000000
15.6250000000000	159.041900000000	-204.505800000000
12.4667500000000	180.793700000000	-225.026600000000
9.97340000000000	204.509300000000	-245.507200000000
7.97193900000000	230.753700000000	-265.509400000000
6.35162600000000	260.061600000000	-284.345000000000
5.01336900000000	291.168300000000	-301.900200000000
3.98596900000000	326.113200000000	-315.742900000000
3.17581300000000	362.787000000000	-325.640000000000
2.51610300000000	402.433200000000	-330.407300000000
1.99553000000000	432.784500000000	-325.482000000000
1.58790600000000	473.484500000000	-327.579900000000
1.25805200000000	512.223600000000	-323.565000000000
0.997765000000000	548.294500000000	-316.003100000000
0.792744800000000	579.330300000000	-308.200400000000
0.629025800000000	607.184600000000	-301.197500000000
0.498882500000000	632.253900000000	-297.409800000000
0.398596900000000	652.984700000000	-296.533100000000
0.316723000000000	670.660500000000	-300.219800000000
0.251475300000000	684.599000000000	-308.550100000000
0.199978700000000	695.004900000000	-322.988100000000
0.158790600000000	704.111600000000	-344.917000000000
0.126008100000000	718.602800000000	-374.180600000000
0.100160300000000	729.284400000000	-412.769500000000
