Voltaje	Corriente
0.789611	0.000320
0.779611	0.000298
0.769411	0.000278
0.759411	0.000261
0.749411	0.000245
0.739410	0.000230
0.729410	0.000217
0.719410	0.000204
0.709410	0.000193
0.699409	0.000182
0.689409	0.000171
0.679409	0.000162
0.669209	0.000152
0.659409	0.000144
0.649608	0.000136
0.639608	0.000128
0.629408	0.000121
0.619608	0.000114
0.609607	0.000107
0.599407	0.000101
0.589607	0.000095
0.579607	0.000089
0.569606	0.000083
0.559606	0.000078
0.549606	0.000073
0.539606	0.000068
0.529206	0.000063
0.519605	0.000059
0.509405	0.000055
0.499405	0.000050
0.489805	0.000047
0.479604	0.000043
0.469604	0.000039
0.459604	0.000034
0.449604	0.000033
0.439604	0.000029
0.429603	0.000025
0.419603	0.000022
0.409603	0.000019
0.399603	0.000016
0.389602	0.000013
0.379602	0.000010
0.369802	0.000007
0.359602	0.000005
0.349601	0.000002
0.339801	-0.000001
0.329601	-0.000003
0.319801	-0.000006
0.309801	-0.000008
0.299800	-0.000011
0.289600	-0.000013
0.279600	-0.000016
0.269600	-0.000018
0.259799	-0.000020
0.249599	-0.000023
0.239799	-0.000025
0.229799	-0.000028
0.219799	-0.000030
0.209798	-0.000032
0.199798	-0.000035
0.189998	-0.000037
0.179798	-0.000039
0.169597	-0.000042
0.159797	-0.000044
0.149797	-0.000046
0.139797	-0.000061
0.129596	-0.000045
0.119596	-0.000055
0.109996	-0.000056
0.099596	-0.000059
0.089796	-0.000061
0.079795	-0.000063
0.069995	-0.000066
0.059795	-0.000068
0.049995	-0.000070
0.039594	-0.000073
0.029594	-0.000075
0.019994	-0.000078
0.009794	-0.000080
-0.000006	-0.000082
-0.010007	-0.000085
-0.020207	-0.000087
-0.030207	-0.000090
-0.040207	-0.000092
-0.050008	-0.000095
-0.060208	-0.000097
-0.070008	-0.000100
-0.080008	-0.000102
-0.090009	-0.000105
-0.100009	-0.000107
-0.109809	-0.000110
-0.120009	-0.000112
-0.130209	-0.000115
-0.140010	-0.000117
-0.150010	-0.000120
-0.160010	-0.000123
-0.170010	-0.000125
-0.180011	-0.000128
-0.189811	-0.000130
-0.200211	-0.000133
-0.210011	-0.000136
-0.220011	-0.000138
-0.230012	-0.000141
-0.239812	-0.000144
-0.250012	-0.000146
-0.260012	-0.000149
-0.270013	-0.000152
-0.279813	-0.000154
-0.290013	-0.000157
-0.300013	-0.000160
-0.309814	-0.000163
-0.320014	-0.000165
-0.330014	-0.000168
-0.340014	-0.000171
-0.349814	-0.000174
-0.360015	-0.000177
-0.369815	-0.000180
-0.380015	-0.000183
-0.390015	-0.000186
-0.400016	-0.000189
-0.409616	-0.000192
-0.420016	-0.000194
-0.429816	-0.000197
-0.439817	-0.000201
-0.449817	-0.000204
-0.459817	-0.000207
-0.469817	-0.000210
-0.479817	-0.000213
-0.489818	-0.000216
-0.499818	-0.000220
-0.509818	-0.000223
-0.519818	-0.000227
-0.529619	-0.000230
-0.539819	-0.000234
-0.549819	-0.000237
-0.559819	-0.000241
-0.569619	-0.000245
-0.579820	-0.000249
-0.589620	-0.000253
-0.599820	-0.000257
-0.609620	-0.000261
-0.619621	-0.000265
-0.629821	-0.000269
-0.639621	-0.000274
-0.649821	-0.000278
-0.659822	-0.000283
-0.669822	-0.000287
-0.679822	-0.000292
-0.689622	-0.000298
-0.699622	-0.000303
-0.709823	-0.000308
-0.719823	-0.000314
-0.729623	-0.000320
-0.739623	-0.000326
-0.749424	-0.000333
-0.759624	-0.000340
-0.769624	-0.000347
-0.779424	-0.000355
-0.789624	-0.000363
-0.799425	-0.000371
-0.790424	-0.000334
-0.780024	-0.000309
-0.770024	-0.000288
-0.760024	-0.000270
-0.749824	-0.000253
-0.739823	-0.000237
-0.730223	-0.000223
-0.720223	-0.000210
-0.710223	-0.000197
-0.700022	-0.000186
-0.690022	-0.000175
-0.680222	-0.000164
-0.670022	-0.000155
-0.660022	-0.000146
-0.650221	-0.000137
-0.640421	-0.000129
-0.630221	-0.000121
-0.620021	-0.000114
-0.610220	-0.000107
-0.600020	-0.000100
-0.590220	-0.000094
-0.580220	-0.000088
-0.570019	-0.000082
-0.560219	-0.000077
-0.550219	-0.000071
-0.540219	-0.000066
-0.530219	-0.000061
-0.520218	-0.000057
-0.510218	-0.000052
-0.500218	-0.000048
-0.490218	-0.000044
-0.480217	-0.000040
-0.470417	-0.000035
-0.460417	-0.000033
-0.450017	-0.000029
-0.440216	-0.000025
-0.430016	-0.000022
-0.420216	-0.000019
-0.410416	-0.000016
-0.400416	-0.000013
-0.390215	-0.000010
-0.380415	-0.000007
-0.370415	-0.000004
-0.360415	-0.000001
-0.350214	0.000001
-0.340414	0.000004
-0.330414	0.000007
-0.320414	0.000009
-0.310414	0.000012
-0.300413	0.000014
-0.290413	0.000016
-0.280213	0.000019
-0.270413	0.000021
-0.260412	0.000023
-0.250612	0.000025
-0.240212	0.000028
-0.230612	0.000030
-0.220411	0.000032
-0.210411	0.000034
-0.200411	0.000037
-0.190411	0.000039
-0.180411	0.000041
-0.170210	0.000043
-0.160410	0.000045
-0.150410	0.000059
-0.140610	0.000044
-0.130609	0.000054
-0.120609	0.000055
-0.110609	0.000057
-0.100609	0.000060
-0.090608	0.000062
-0.080408	0.000065
-0.070408	0.000067
-0.060608	0.000070
-0.050408	0.000072
-0.040407	0.000074
-0.030607	0.000077
-0.020607	0.000079
-0.010607	0.000082
-0.000406	0.000084
0.009594	0.000087
0.019394	0.000090
0.029394	0.000092
0.039394	0.000095
0.049595	0.000097
0.059395	0.000100
0.069395	0.000102
0.079395	0.000105
0.089396	0.000108
0.099396	0.000110
0.109196	0.000113
0.119396	0.000116
0.129396	0.000119
0.139197	0.000121
0.149197	0.000124
0.159397	0.000127
0.169197	0.000129
0.179398	0.000132
0.189398	0.000135
0.199398	0.000138
0.209398	0.000141
0.219399	0.000143
0.229399	0.000146
0.239199	0.000149
0.249199	0.000152
0.259399	0.000155
0.269400	0.000158
0.279000	0.000161
0.289200	0.000164
0.299200	0.000167
0.309201	0.000170
0.319201	0.000173
0.329201	0.000176
0.339201	0.000179
0.349201	0.000182
0.359202	0.000185
0.369402	0.000188
0.379202	0.000191
0.389202	0.000194
0.399203	0.000197
0.409403	0.000200
0.419203	0.000203
0.429003	0.000207
0.439203	0.000210
0.449204	0.000213
0.459204	0.000216
0.469204	0.000219
0.479004	0.000223
0.489205	0.000226
0.499005	0.000229
0.509005	0.000232
0.519005	0.000236
0.529206	0.000239
0.539006	0.000243
0.549206	0.000246
0.559006	0.000250
0.569206	0.000253
0.579007	0.000257
0.589007	0.000260
0.599007	0.000264
0.609007	0.000267
0.619208	0.000271
0.629208	0.000274
0.639408	0.000278
0.649008	0.000282
0.659009	0.000286
0.669209	0.000290
0.679009	0.000294
0.689009	0.000298
0.699009	0.000302
0.709210	0.000306
0.719010	0.000311
0.729010	0.000315
0.738810	0.000320
0.749011	0.000324
0.759011	0.000329
0.769211	0.000334
0.778811	0.000339
0.789011	0.000345
0.799012	0.000350
