Voltaje	Corriente
0.789035	0.000419
0.779235	0.000393
0.769235	0.000372
0.759235	0.000351
0.749035	0.000332
0.739235	0.000315
0.729235	0.000299
0.719435	0.000283
0.709235	0.000269
0.699235	0.000256
0.689235	0.000242
0.679435	0.000230
0.669235	0.000219
0.659235	0.000208
0.649235	0.000198
0.639435	0.000188
0.629435	0.000178
0.619235	0.000169
0.609435	0.000161
0.599435	0.000153
0.589435	0.000144
0.579235	0.000137
0.569235	0.000129
0.559235	0.000123
0.549235	0.000116
0.539235	0.000109
0.529235	0.000104
0.519235	0.000098
0.509435	0.000091
0.499435	0.000086
0.489435	0.000081
0.479435	0.000076
0.469235	0.000070
0.459435	0.000065
0.449235	0.000061
0.439635	0.000057
0.429235	0.000052
0.419435	0.000048
0.409235	0.000044
0.399635	0.000040
0.389435	0.000036
0.379235	0.000032
0.369435	0.000029
0.359235	0.000025
0.349235	0.000022
0.339435	0.000018
0.329235	0.000015
0.319435	0.000012
0.309235	0.000009
0.299235	0.000006
0.289435	0.000003
0.279635	-0.000000
0.269635	-0.000003
0.259435	-0.000006
0.249435	-0.000009
0.239435	-0.000012
0.229435	-0.000014
0.219435	-0.000017
0.209435	-0.000020
0.199635	-0.000022
0.189635	-0.000025
0.179435	-0.000027
0.169635	-0.000030
0.159635	-0.000033
0.149835	-0.000035
0.139635	-0.000038
0.129635	-0.000040
0.119435	-0.000043
0.109635	-0.000045
0.099435	-0.000048
0.089635	-0.000051
0.079435	-0.000053
0.069435	-0.000056
0.059635	-0.000058
0.049435	-0.000061
0.039435	-0.000064
0.029835	-0.000066
0.019635	-0.000069
0.009635	-0.000072
-0.000565	-0.000074
-0.010565	-0.000078
-0.020365	-0.000080
-0.030365	-0.000083
-0.040165	-0.000086
-0.050365	-0.000089
-0.060365	-0.000092
-0.070365	-0.000095
-0.080365	-0.000098
-0.090165	-0.000101
-0.100365	-0.000104
-0.110365	-0.000107
-0.120165	-0.000110
-0.130165	-0.000113
-0.140365	-0.000116
-0.150165	-0.000120
-0.160165	-0.000123
-0.170365	-0.000126
-0.180165	-0.000130
-0.190165	-0.000133
-0.200165	-0.000137
-0.210165	-0.000140
-0.220165	-0.000143
-0.230365	-0.000147
-0.240365	-0.000151
-0.250165	-0.000154
-0.260165	-0.000157
-0.270165	-0.000161
-0.280365	-0.000165
-0.290365	-0.000169
-0.300165	-0.000173
-0.310165	-0.000177
-0.320165	-0.000180
-0.330165	-0.000184
-0.340165	-0.000188
-0.350165	-0.000193
-0.360165	-0.000197
-0.370165	-0.000201
-0.379965	-0.000205
-0.390165	-0.000209
-0.400165	-0.000213
-0.410165	-0.000217
-0.420165	-0.000222
-0.430165	-0.000226
-0.440165	-0.000231
-0.450165	-0.000235
-0.459965	-0.000240
-0.469965	-0.000244
-0.479965	-0.000249
-0.490165	-0.000254
-0.499965	-0.000258
-0.509965	-0.000263
-0.519965	-0.000268
-0.529965	-0.000273
-0.539965	-0.000279
-0.549765	-0.000284
-0.559765	-0.000289
-0.569965	-0.000294
-0.579965	-0.000300
-0.590165	-0.000305
-0.599965	-0.000312
-0.609965	-0.000317
-0.619965	-0.000324
-0.629965	-0.000330
-0.639965	-0.000337
-0.649965	-0.000343
-0.659965	-0.000350
-0.669965	-0.000356
-0.679765	-0.000364
-0.689965	-0.000371
-0.699765	-0.000379
-0.709965	-0.000386
-0.719965	-0.000395
-0.729965	-0.000404
-0.739765	-0.000412
-0.749965	-0.000421
-0.759965	-0.000431
-0.769765	-0.000442
-0.779765	-0.000451
-0.789765	-0.000463
-0.799765	-0.000474
-0.789765	-0.000438
-0.779965	-0.000409
-0.769765	-0.000384
-0.759965	-0.000362
-0.749965	-0.000341
-0.739765	-0.000323
-0.729765	-0.000306
-0.719765	-0.000290
-0.709965	-0.000274
-0.699965	-0.000260
-0.689965	-0.000247
-0.679965	-0.000235
-0.669965	-0.000223
-0.659965	-0.000212
-0.649765	-0.000201
-0.639965	-0.000191
-0.629965	-0.000182
-0.619965	-0.000173
-0.609765	-0.000163
