Voltaje	Corriente
0.789235	0.000170
0.779235	0.000158
0.769235	0.000148
0.759035	0.000138
0.749235	0.000130
0.739035	0.000122
0.729235	0.000115
0.719235	0.000108
0.709235	0.000101
0.699035	0.000096
0.689235	0.000090
0.679235	0.000085
0.669035	0.000079
0.659235	0.000075
0.649235	0.000070
0.639235	0.000066
0.629235	0.000062
0.619235	0.000058
0.609435	0.000054
0.599435	0.000050
0.589235	0.000047
0.579235	0.000043
0.569435	0.000040
0.559035	0.000037
0.549235	0.000034
0.539435	0.000031
0.529435	0.000029
0.519235	0.000026
0.509235	0.000023
0.499435	0.000021
0.489435	0.000018
0.479035	0.000016
0.469235	0.000013
0.459235	0.000011
0.449435	0.000009
0.439235	0.000007
0.429435	0.000004
0.419035	0.000002
0.409235	0.000001
0.399435	-0.000002
0.389235	-0.000003
0.379235	-0.000006
0.369635	-0.000007
0.359635	-0.000009
0.349635	-0.000011
0.339435	-0.000012
0.329235	-0.000014
0.319435	-0.000016
0.309635	-0.000018
0.299435	-0.000019
0.289435	-0.000021
0.279435	-0.000022
0.269635	-0.000024
0.259635	-0.000025
0.249435	-0.000027
0.239435	-0.000028
0.229435	-0.000030
0.219435	-0.000031
0.209635	-0.000032
0.199635	-0.000034
0.189435	-0.000035
0.179635	-0.000036
0.169635	-0.000038
0.159435	-0.000039
0.149435	-0.000040
0.139435	-0.000042
0.129635	-0.000043
0.119635	-0.000044
0.109635	-0.000045
0.099435	-0.000046
0.089635	-0.000048
0.079635	-0.000049
0.069635	-0.000050
0.059635	-0.000051
0.049635	-0.000052
0.039635	-0.000054
0.029635	-0.000054
0.019635	-0.000056
0.009835	-0.000057
-0.000565	-0.000058
-0.010565	-0.000059
-0.020565	-0.000060
-0.030365	-0.000061
-0.040165	-0.000062
-0.050165	-0.000063
-0.060365	-0.000064
-0.070365	-0.000065
-0.080365	-0.000067
-0.090165	-0.000068
-0.100165	-0.000069
-0.110365	-0.000069
-0.120165	-0.000071
-0.130365	-0.000072
-0.140365	-0.000073
-0.150165	-0.000074
-0.160365	-0.000075
-0.170165	-0.000076
-0.180365	-0.000077
-0.190165	-0.000078
-0.200165	-0.000079
-0.210365	-0.000080
-0.220165	-0.000081
-0.230165	-0.000082
-0.240165	-0.000083
-0.250165	-0.000084
-0.260165	-0.000085
-0.270165	-0.000086
-0.280365	-0.000088
-0.290165	-0.000089
-0.300165	-0.000090
-0.310365	-0.000091
-0.320165	-0.000092
-0.329965	-0.000093
-0.339965	-0.000094
-0.350165	-0.000095
-0.360165	-0.000096
-0.370165	-0.000097
-0.380165	-0.000098
-0.390165	-0.000099
-0.400165	-0.000100
-0.409965	-0.000101
-0.419965	-0.000102
-0.430165	-0.000103
-0.439965	-0.000104
-0.450165	-0.000106
-0.460165	-0.000107
-0.469965	-0.000108
-0.479965	-0.000109
-0.489965	-0.000110
-0.500165	-0.000111
-0.509965	-0.000112
-0.520165	-0.000114
-0.529965	-0.000115
-0.540165	-0.000116
-0.549965	-0.000118
-0.559965	-0.000119
-0.569965	-0.000120
-0.579765	-0.000122
-0.589965	-0.000123
-0.599965	-0.000125
-0.609965	-0.000126
-0.619965	-0.000128
-0.630165	-0.000130
-0.639965	-0.000131
-0.649965	-0.000133
-0.659965	-0.000135
-0.670165	-0.000137
-0.679765	-0.000139
-0.689765	-0.000142
-0.699965	-0.000144
-0.709965	-0.000147
-0.719965	-0.000149
-0.729965	-0.000152
-0.739965	-0.000155
-0.749965	-0.000158
-0.759765	-0.000161
-0.769765	-0.000165
-0.779765	-0.000169
-0.789765	-0.000173
-0.799765	-0.000178
-0.789965	-0.000162
-0.779765	-0.000147
-0.769765	-0.000136
-0.759765	-0.000125
-0.749965	-0.000116
-0.739765	-0.000107
-0.729965	-0.000099
-0.719765	-0.000092
-0.709965	-0.000085
-0.699765	-0.000079
-0.689765	-0.000073
-0.679965	-0.000068
-0.670165	-0.000062
-0.659965	-0.000057
