V	A
0.788868	0.006095
0.779068	0.005606
0.769068	0.005158
0.759068	0.004743
0.749068	0.004359
0.739068	0.004004
0.729068	0.003673
0.719068	0.003359
0.709068	0.003065
0.698868	0.002787
0.689068	0.002525
0.679268	0.002275
0.669068	0.002039
0.659268	0.001814
0.649068	0.001600
0.639268	0.001395
0.629068	0.001200
0.619268	0.001012
0.609068	0.000832
0.599068	0.000659
0.589268	0.000493
0.579268	0.000332
0.569268	0.000176
0.559268	0.000027
0.549268	-0.000055
0.539268	-0.000258
0.529068	-0.000394
0.519068	-0.000525
0.509268	-0.000653
0.499068	-0.000778
0.489268	-0.000899
0.479068	-0.001017
0.469268	-0.001131
0.459268	-0.001243
0.449068	-0.001352
0.439268	-0.001458
0.429268	-0.001561
0.419268	-0.001662
0.409268	-0.001760
0.399268	-0.001856
0.389268	-0.001950
0.379068	-0.002041
0.369268	-0.002131
0.359068	-0.002219
0.349468	-0.002305
0.339268	-0.002388
0.329068	-0.002470
0.319268	-0.002550
0.309268	-0.002629
0.299268	-0.002707
0.289268	-0.002782
0.279468	-0.002856
0.269468	-0.002930
0.259268	-0.003003
0.249468	-0.003074
0.239468	-0.003143
0.229468	-0.003212
0.219668	-0.003280
0.209268	-0.003346
0.199468	-0.003412
0.189468	-0.003474
0.179268	-0.003541
0.169468	-0.003603
0.159468	-0.003666
0.149468	-0.003725
0.139668	-0.003786
0.129468	-0.003848
0.119468	-0.003906
0.109668	-0.003967
0.099468	-0.004023
0.089668	-0.004081
0.079668	-0.004138
0.069468	-0.004195
0.059468	-0.004250
0.049268	-0.004307
0.039668	-0.004362
0.029668	-0.004418
0.019468	-0.004471
0.009468	-0.004528
-0.000332	-0.004580
-0.010532	-0.004631
-0.020332	-0.004685
-0.030532	-0.004736
-0.040332	-0.004786
-0.050532	-0.004838
-0.060332	-0.004892
-0.070532	-0.004943
-0.080332	-0.004993
-0.090132	-0.005043
-0.100332	-0.005092
-0.110532	-0.005142
-0.120332	-0.005190
-0.130332	-0.005239
-0.140532	-0.005289
-0.150332	-0.005332
-0.160332	-0.005381
-0.170332	-0.005427
-0.180332	-0.005476
-0.190332	-0.005521
-0.200332	-0.005569
-0.210532	-0.005611
-0.220332	-0.005656
-0.230332	-0.005703
-0.240332	-0.005744
-0.250332	-0.005789
-0.260332	-0.005831
-0.270332	-0.005871
-0.280132	-0.005915
-0.290132	-0.005958
-0.300332	-0.005998
-0.310332	-0.006040
-0.320332	-0.006082
-0.330332	-0.006123
-0.340332	-0.006160
-0.350332	-0.006205
-0.360332	-0.006242
-0.370132	-0.006282
-0.380332	-0.006320
-0.390132	-0.006357
-0.400132	-0.006397
-0.410332	-0.006437
-0.420132	-0.006474
-0.430132	-0.006509
-0.440132	-0.006549
-0.450132	-0.006582
-0.460132	-0.006622
-0.470132	-0.006657
-0.479932	-0.006691
-0.489932	-0.006727
-0.499932	-0.006764
-0.510132	-0.006794
-0.520132	-0.006831
-0.530132	-0.006864
-0.540132	-0.006896
-0.550132	-0.006928
-0.560132	-0.006959
-0.570132	-0.006989
-0.579932	-0.007021
-0.590132	-0.007048
-0.599932	-0.007079
-0.610132	-0.007106
-0.620132	-0.007135
-0.629932	-0.007161
-0.639932	-0.007188
-0.649932	-0.007213
-0.660132	-0.007236
-0.669932	-0.007258
-0.679932	-0.007278
-0.689932	-0.007301
-0.699932	-0.007321
-0.709932	-0.007342
-0.719932	-0.007358
-0.729932	-0.007377
-0.739932	-0.007393
-0.749932	-0.007410
-0.759932	-0.007425
-0.769932	-0.007440
-0.779932	-0.007452
-0.790132	-0.007463
-0.799932	-0.007478
-0.789732	-0.006873
-0.779932	-0.006325
-0.769932	-0.005824
-0.759932	-0.005359
-0.750132	-0.004928
-0.739932	-0.004526
-0.729932	-0.004149
-0.719932	-0.003792
-0.710132	-0.003456
-0.699932	-0.003139
-0.689932	-0.002840
-0.680132	-0.002555
-0.669932	-0.002284
-0.659932	-0.002027
-0.650132	-0.001782
-0.639932	-0.001546
-0.630132	-0.001321
-0.619932	-0.001105
-0.609932	-0.000897
-0.599932	-0.000697
-0.590132	-0.000506
-0.579932	-0.000321
-0.569932	-0.000143
-0.560132	0.000029
-0.550132	0.000055
-0.540132	0.000356
-0.530132	0.000512
-0.520132	0.000664
-0.510332	0.000810
-0.499932	0.000953
-0.489932	0.001091
-0.480132	0.001223
-0.470132	0.001353
-0.459932	0.001479
-0.450132	0.001601
-0.440132	0.001719
-0.430132	0.001834
-0.420332	0.001947
-0.410132	0.002056
-0.400332	0.002162
-0.390132	0.002265
-0.380332	0.002365
-0.370332	0.002464
-0.360132	0.002559
-0.350132	0.002652
-0.340332	0.002741
-0.330332	0.002830
-0.320332	0.002916
-0.310132	0.003000
-0.300332	0.003081
-0.290332	0.003162
-0.280332	0.003239
-0.270332	0.003316
-0.260332	0.003390
-0.250332	0.003462
-0.240532	0.003534
-0.230332	0.003606
-0.220332	0.003674
-0.210332	0.003743
-0.200332	0.003807
