V	A
0.479423	0.000907
0.489424	0.000904
0.499224	0.000903
0.509224	0.000900
0.519424	0.000898
0.529225	0.000896
0.539225	0.000894
0.549425	0.000893
0.559225	0.000891
0.569225	0.000890
0.579426	0.000889
0.589226	0.000888
0.599426	0.000889
0.609426	0.000889
0.619227	0.000889
0.629427	0.000890
0.639227	0.000891
0.649227	0.000892
0.659227	0.000894
0.669428	0.000896
0.679228	0.000899
0.689228	0.000902
0.699028	0.000906
0.709229	0.000910
0.719229	0.000914
0.729029	0.000919
0.739429	0.000925
0.749229	0.000931
0.759230	0.000938
0.769230	0.000946
0.779430	0.000955
0.789030	0.000964
0.799231	0.000975
