raman_shift	CRGO090615_1	GO090615_1	GO090615_2	GO090615_3	GO090615A_1	GO090615A_2	GO090615A_3
-167.358068053787	186.850006103516	187.100006103516	187.5	186.800003051758	186.899993896484	187.300003051758	186.899993896484
-162.418445180836	186.350006103516	187.25	187.199996948242	187.149993896484	187.300003051758	187.199996948242	187.399993896484
-157.481518129894	186.449996948242	187.449996948242	187.050003051758	187.199996948242	187.199996948242	186.899993896484	186.75
-152.547284817566	186.600006103516	187.149993896484	187.149993896484	186.899993896484	187	187.199996948242	186.899993896484
-147.61574316262	186.649993896484	186.949996948242	187.300003051758	187	187.149993896484	187	186.800003051758
-142.686891085959	186.899993896484	187.199996948242	186.949996948242	187.149993896484	187.100006103516	186.899993896484	187.100006103516
-137.76072651062	186.449996948242	187.199996948242	187.399993896484	187.350006103516	186.949996948242	187.050003051758	186.800003051758
-132.837247361777	186.399993896484	187.350006103516	187.350006103516	187.300003051758	187.449996948242	187	187.199996948242
-127.91645156675	186.350006103516	187.399993896484	187.199996948242	187.149993896484	186.949996948242	186.899993896484	186.850006103516
-122.998337054981	186.75	187.649993896484	187.25	187	186.600006103516	187.050003051758	186.850006103516
-118.082901758038	186.75	187.149993896484	186.800003051758	187.199996948242	187.149993896484	186.800003051758	186.899993896484
-113.170143609616	186.699996948242	187.100006103516	187.149993896484	187.149993896484	186.75	187.100006103516	187
-108.260060545547	186.899993896484	186.899993896484	187.100006103516	187	187.399993896484	186.949996948242	187.050003051758
-103.352650503763	186.449996948242	187.100006103516	186.949996948242	186.949996948242	187.25	187.050003051758	187
-98.4479114243265	186.850006103516	187.149993896484	186.800003051758	187	186.949996948242	186.800003051758	186.899993896484
-93.5458412494064	186.949996948242	187.300003051758	186.899993896484	187.199996948242	186.800003051758	187.199996948242	186.649993896484
-88.6464379232927	186.600006103516	187.050003051758	187.100006103516	187	186.850006103516	186.949996948242	186.899993896484
-83.7496993923827	186.850006103516	187.25	187.399993896484	187	186.949996948242	186.850006103516	186.899993896484
-78.8556236051743	186.75	187.5	187.050003051758	187.300003051758	186.949996948242	187.149993896484	186.949996948242
-73.9642085122792	186.399993896484	187.199996948242	186.75	187.300003051758	187.5	187.300003051758	186.850006103516
-69.0754520663922	187.100006103516	187.25	187.449996948242	187.199996948242	187.199996948242	186.899993896484	187.100006103516
-64.1893522223368	186.75	187.100006103516	187.149993896484	186.899993896484	186.899993896484	187.199996948242	187.199996948242
-59.305906937002	186.699996948242	186.899993896484	187.350006103516	187.100006103516	186.949996948242	187.149993896484	187.199996948242
-54.4251141693921	186.350006103516	187.449996948242	187	187.050003051758	187.350006103516	187	187.199996948242
-49.5469718805879	186.600006103516	187.300003051758	187.25	187.25	187.600006103516	187.199996948242	186.800003051758
-44.6714780337637	186.5	187.399993896484	187.149993896484	186.649993896484	187	187.100006103516	186.949996948242
-39.7986305941813	187	187.550003051758	187.300003051758	187.300003051758	187.050003051758	186.899993896484	187.100006103516
-34.9284275291786	186.850006103516	186.949996948242	187.5	187.399993896484	187.100006103516	187.149993896484	186.899993896484
-30.0608668081795	186.399993896484	187.25	187.25	187.300003051758	187.100006103516	187.300003051758	186.649993896484
