2t	C	GO	RGO
34.8	0.00229	0.11043	0.16335
35	0.00229	0.16258	0.17131
35.2	0.00185	0.19325	0.14343
35.4	0.0021	0.18712	0.14741
35.6	0.00188	0.15644	0.15936
35.8	0.00185	0.18098	0.17928
36	0.00162	0.17485	0.12749
36.2	0.00207	0.15031	0.17131
36.4	0.00196	0.12883	0.12749
36.6	0.00159	0.16564	0.16733
36.8	0.00177	0.12577	0.14343
37	0.00148	0.16258	0.16335
37.2	0.00162	0.12577	0.13546
37.4	0.00148	0.11043	0.15538
37.6	0.00155	0.14417	0.12749
37.8	0.00188	0.10736	0.13147
38	0.00181	0.13497	0.13944
38.2	0.00155	0.12577	0.16733
38.4	0.00155	0.11963	0.10757
38.6	0.00114	0.13804	0.10757
38.8	0.0014	0.1135	0.12351
39	0.00122	0.12577	0.13546
39.2	0.00159	0.12883	0.12749
39.4	0.00177	0.19018	0.15936
39.6	0.00114	0.12577	0.13147
39.8	0.00155	0.11656	0.13944
40	0.00144	0.1227	0.15538
40.2	0.00148	0.13497	0.14343
40.4	0.00148	0.10429	0.12749
40.6	0.00137	0.13804	0.13546
40.8	0.00155	0.1411	0.14343
41	0.00137	0.13497	0.12749
41.2	0.0014	0.10736	0.11155
41.4	0.00151	0.09509	0.13546
41.6	0.0017	0.13804	0.14741
41.8	0.00122	0.1411	0.15936
42	0.00144	0.11963	0.10757
42.2	0.00111	0.08896	0.13546
42.4	0.00159	0.13804	0.13546
42.6	0.00144	0.1319	0.13546
42.8	0.00118	0.1227	0.13546
43	0.00114	0.12577	0.14741
43.2	0.00148	0.1227	0.11952
43.4	0.00118	0.1135	0.13546
43.6	0.00133	0.11656	0.15139
43.8	0.00148	0.1227	0.11554
44	0.00129	0.09816	0.14343
44.2	0.00148	0.1227	0.13147
44.4	0.00126	0.09509	0.11952
44.6	0.00144	0.10736	0.11554
44.8	0.00111	0.11043	0.11554
45	0.00166	0.1319	0.11554
45.2	0.00207	0.08282	0.08765
45.4	0.00148	0.07055	0.0996
45.6	0.0014	0.05521	0.10359
45.8	0.00162	0.08282	0.14741
46	9.96862E-4	0.09509	0.10359
46.2	0.00118	0.07975	0.10359
46.4	0.00118	0.09816	0.11554
46.6	0.00126	0.06442	0.09562
46.8	0.00148	0.07975	0.11155
47	0.00118	0.07669	0.13546
47.2	0.0014	0.09202	0.11155
47.4	0.00133	0.07055	0.08367
47.6	0.00148	0.09816	0.08765
47.8	0.00133	0.06442	0.12351
48	0.00137	0.09202	0.10359
48.2	0.00129	0.07362	0.0757
48.4	0.00151	0.09202	0.07968
48.6	0.00133	0.07362	0.08765
48.8	0.00155	0.05828	0.10757
49	0.00181	0.10123	0.09163
49.2	0.00148	0.06135	0.09562
49.4	0.00137	0.07055	0.07968
49.6	0.00159	0.06748	0.08765
49.8	0.00148	0.08589	0.08765
50	0.00188	0.05521	0.07171
50.2	0.00199	0.06442	0.06375
50.4	0.00148	0.05828	0.0757
50.6	0.00155	0.06135	0.03187
50.8	0.00199	0.06135	0.05179
51	0.00162	0.05828	0.05179
51.2	0.00162	0.05521	0.07171
51.4	0.00196	0.04908	0.0996
51.6	0.00244	0.07362	0.07171
51.8	0.00203	0.03374	0.05976
52	0.00203	0.07669	0.08367
52.2	0.00251	0.05828	0.0996
52.4	0.00295	0.05215	0.05976
52.6	0.00332	0.07975	0.08765
52.8	0.00421	0.06442	0.08765
53	0.00495	0.05521	0.04382
53.2	0.00639	0.06442	0.08765
53.4	0.00701	0.03067	0.04382
53.6	0.00857	0.05521	0.07171
53.8	0.00971	0.04601	0.06375
54	0.01008	0.06748	0.06773
54.2	0.01045	0.04908	0.05976
54.4	0.01229	0.06442	0.04382
54.6	0.01628	0.06135	0.0757
54.8	0.03312	0.05521	0.08765
55	0.03334	0.04601	0.03984
55.2	0.03282	0.03681	0.03187
55.4	0.03843	0.05828	0.05179
55.6	0.02699	0.05215	0.04781
55.8	0.01451	0.04908	0.05578
56	0.00827	0.03988	0.04781
56.2	0.00558	0.04294	0.05976
56.4	0.00388	0.03988	0.07171
56.6	0.00292	0.04294	0.03586
56.8	0.00266	0.03681	0.04781
57	0.00181	0.06442	0.05578
57.2	0.00196	0.05521	0.04781
57.4	0.00159	0.04601	0.05976
57.6	0.00174	0.03988	0.05578
57.8	0.00122	0.05215	0.07171
58	0.00155	0.03067	0.0757
58.2	0.00126	0.03681	0.03586
58.4	0.00155	0.03681	0.05578
58.6	0.00114	0.03988	0.06375
58.8	0.00107	0.04601	0.04781
59	0.00103	0.03374	0.07171
59.2	0.00122	0.03374	0.04781
59.4	9.96862E-4	0.05521	0.07171
59.6	0.00144	0.04601	0.06773
59.8	0.00118	0.05215	0.05976
60	8.12258E-4	0.04294	0.04382
60.2	7.75337E-4	0.05828	0.03586
60.4	9.2302E-4	0.03067	0.05578
60.6	9.59941E-4	0.03374	0.05976
60.8	8.49179E-4	0.03681	0.06375
61	0.00103	0.04294	0.07171
61.2	9.96862E-4	0.04601	0.05179
61.4	9.59941E-4	0.05215	0.05976
61.6	9.59941E-4	0.06748	0.05179
61.8	8.49179E-4	0.03988	0.04781
62	8.12258E-4	0.03988	0.05578
62.2	7.75337E-4	0.04601	0.06773
62.4	8.86099E-4	0.02147	0.03187
62.6	9.2302E-4	0.05521	0.05179
62.8	8.12258E-4	0.03067	0.0757
63	9.2302E-4	0.06135	0.03586
63.2	7.01495E-4	0.05215	0.05179
63.4	7.75337E-4	0.04294	0.03586
63.6	9.96862E-4	0.02454	0.05179
63.8	6.64574E-4	0.04294	0.05179
64	6.64574E-4	0.03681	0.03586
64.2	7.01495E-4	0.03681	0.03187
64.4	9.59941E-4	0.03988	0.05578
64.6	6.64574E-4	0.03067	0.06375
64.8	8.12258E-4	0.02761	0.0757
65	6.64574E-4	0.01227	0.03586
65.2	8.12258E-4	0.03374	0.03984
65.4	8.12258E-4	0.03681	0.07171
65.6	7.38416E-4	0.03067	0.02789
65.8	8.49179E-4	0.03374	0.02789
66	9.59941E-4	0.03681	0.04781
66.2	6.27654E-4	0.04294	0.05578
66.4	8.86099E-4	0.03374	0.04781
66.6	0.00103	0.04294	0.05179
66.8	9.2302E-4	0.04294	0.04781
67	7.38416E-4	0.02761	0.0239
67.2	8.49179E-4	0.02147	0.0757
67.4	6.64574E-4	0.04294	0.05578
67.6	8.12258E-4	0.03374	0.03984
67.8	7.75337E-4	0.03681	0.03586
68	8.49179E-4	0.03988	0.05179
68.2	6.27654E-4	0.03067	0.03586
68.4	0.00107	0.03988	0.04382
68.6	9.2302E-4	0.01534	0.03984
68.8	7.01495E-4	0.02147	0.04382
69	9.2302E-4	0.03067	0.0239
69.2	8.86099E-4	0.02147	0.04382
69.4	5.16891E-4	0.02147	0.03187
69.6	6.64574E-4	0.03374	0.0239
69.8	7.38416E-4	0.03681	0.03586
70	7.38416E-4	0.02147	0.05179
70.2	5.90733E-4	0.01534	0.04382
70.4	7.38416E-4	0.03374	0.02789
70.6	5.53812E-4	0.03067	0.05179
70.8	7.38416E-4	0.03988	0.01594
71	5.53812E-4	0.03067	0.03586
71.2	7.01495E-4	0.02454	0.05578
71.4	6.64574E-4	0.03374	0.03586
71.6	5.53812E-4	0.02454	0.01594
71.8	8.49179E-4	0.03681	0.00797
72	7.01495E-4	0.04601	0.03586
72.2	5.90733E-4	0.02147	0.04382
72.4	5.90733E-4	0.0184	0.03984
72.6	7.01495E-4	0.03067	0.05179
72.8	8.86099E-4	0.03067	0.04382
73	7.38416E-4	0.05828	0.01992
73.2	6.27654E-4	0.00613	0.00398
73.4	6.27654E-4	0.03067	0.01594
73.6	6.64574E-4	0.02454	0.04382
73.8	8.86099E-4	0.0184	0.03586
74	6.27654E-4	0.03067	0.03187
74.2	6.27654E-4	0.03374	0.01992
