Freq	Zreal	Zimag
1000020	0.687025000000000	0.0113961000000000
794355.500000000	0.721501200000000	0.0507593000000000
630996.100000000	0.662062200000000	-0.0311205000000000
501269.500000000	0.728628900000000	-0.0891600000000000
398144.500000000	0.781581300000000	-0.181413100000000
316230.500000000	0.802297600000000	-0.158053800000000
251191.400000000	0.788827500000000	-0.193051900000000
199628.900000000	0.827055900000000	-0.202770000000000
158496.100000000	0.878830300000000	-0.184171200000000
125918	0.883469200000000	-0.218382600000000
100019.500000000	0.890241600000000	-0.276167700000000
79511.7200000000	0.966789000000000	-0.182046700000000
63105.4700000000	0.952418000000000	-0.311796400000000
50214.8400000000	0.990931000000000	-0.370048300000000
39902.3400000000	1.01996800000000	-0.414966100000000
31699.2200000000	1.04027200000000	-0.488910300000000
25136.7200000000	0.958852000000000	-0.586930600000000
19980.4700000000	1.08217400000000	-0.613628900000000
15878.9100000000	1.07451200000000	-0.959799000000000
12597.6600000000	1.15893800000000	-0.875673300000000
10019.5300000000	1.13867400000000	-1.05470600000000
7928.24100000000	1.28712600000000	-1.21473200000000
6307.87100000000	1.25140900000000	-1.48883200000000
5034.72200000000	1.41228000000000	-1.66760000000000
3993.05600000000	1.53767400000000	-2.21505600000000
3144.05500000000	1.70756200000000	-2.71160900000000
2519.53100000000	1.80651400000000	-3.01817400000000
2000.76200000000	2.01321600000000	-3.78074800000000
1580.66900000000	2.22696800000000	-4.21309000000000
1253.63400000000	2.59631900000000	-5.48436900000000
1000.70200000000	3.00063300000000	-6.80655500000000
790.028100000000	3.50086400000000	-8.33107700000000
628.811000000000	4.05893100000000	-10.0591500000000
502.232100000000	4.70083900000000	-12.0584500000000
400.152400000000	5.41728600000000	-14.4423300000000
315.504800000000	6.26744600000000	-17.4730300000000
252.016100000000	7.13981300000000	-20.9272800000000
200.320500000000	8.11108300000000	-25.2498400000000
158.005600000000	9.23633200000000	-30.7331600000000
125.558000000000	9.37012400000000	-32.7539100000000
99.7340000000000	11.0894000000000	-41.8393100000000
79.4491500000000	13.0464100000000	-51.3618000000000
62.9194600000000	14.8419600000000	-63.4201500000000
49.8670200000000	16.6859700000000	-77.1167000000000
38.4221300000000	19.3039100000000	-93.7142300000000
31.2500000000000	22.2098700000000	-110.584400000000
24.9335100000000	27.0399000000000	-133.778000000000
20.0320500000000	33.6515600000000	-162.012700000000
15.6250000000000	44.7416100000000	-201.428300000000
12.4667500000000	58.7257100000000	-244.327400000000
9.97340000000000	76.0629900000000	-292.775000000000
7.97193900000000	94.3913100000000	-350.439000000000
6.35162600000000	118.012700000000	-409.447700000000
5.01336900000000	145.846600000000	-470.838400000000
3.98596900000000	175.151400000000	-529.051900000000
3.17581300000000	205.768000000000	-583.664900000000
2.51610300000000	236.583600000000	-633.562100000000
1.99553000000000	265.213600000000	-668.918900000000
1.58790600000000	299.559500000000	-724.636700000000
1.25805200000000	333.072400000000	-774.940700000000
0.997765000000000	365.326800000000	-812.616300000000
0.792744800000000	392.764300000000	-848.786400000000
0.629025800000000	420.096300000000	-887.078700000000
0.498882500000000	449.327300000000	-930.889200000000
0.398596900000000	480.170900000000	-975.250000000000
0.316723000000000	511.447300000000	-1014.09100000000
0.251475300000000	544.485100000000	-1045.39100000000
0.199978700000000	585.048800000000	-1066.85900000000
0.158790600000000	634.961700000000	-1077.80400000000
0.126008100000000	705.390800000000	-1063.53000000000
0.100160300000000	778.689700000000	-1034.66300000000
