Freq	Zreal	Zimag
1000020	0.710424000000000	-0.0410004000000000
794355.500000000	0.695819800000000	-0.0366980000000000
630996.100000000	0.709519700000000	0.142949600000000
501269.500000000	0.772955600000000	-0.143116500000000
398144.500000000	0.812414600000000	-0.220422100000000
316230.500000000	0.822059500000000	-0.201516500000000
251191.400000000	0.798999800000000	-0.174137500000000
199628.900000000	0.794844500000000	-0.173541900000000
158496.100000000	0.859088500000000	-0.260612100000000
125918	0.890710100000000	-0.303226400000000
100019.500000000	0.854227500000000	-0.454928300000000
79511.7200000000	0.905662400000000	-0.450517300000000
63105.4700000000	0.879009300000000	-0.562510000000000
50214.8400000000	0.976527000000000	-0.697210700000000
39902.3400000000	1.01769400000000	-0.863809400000000
31699.2200000000	1.06276700000000	-1.07749100000000
25136.7200000000	1.22004500000000	-1.35773000000000
19980.4700000000	1.21025400000000	-1.58862500000000
15878.9100000000	1.17921400000000	-1.89929700000000
12597.6600000000	1.42497600000000	-2.28109600000000
10019.5300000000	1.59209700000000	-2.89806000000000
7928.24100000000	1.80922200000000	-3.73177000000000
6307.87100000000	2.03099500000000	-4.22213500000000
5034.72200000000	2.34337000000000	-5.18860600000000
3993.05600000000	2.68820000000000	-6.26169300000000
3144.05500000000	3.19300500000000	-7.55518500000000
2519.53100000000	3.78241700000000	-9.18313200000000
2000.76200000000	4.50984100000000	-11.0920500000000
1580.66900000000	5.43609100000000	-13.4172200000000
1253.63400000000	6.56340100000000	-16.1448500000000
1000.70200000000	7.92386100000000	-19.2906300000000
790.028100000000	9.68485000000000	-23.1720400000000
628.811000000000	11.8009000000000	-27.5868100000000
502.232100000000	14.3746000000000	-32.6751000000000
400.152400000000	17.5410900000000	-38.5853100000000
315.504800000000	21.6481300000000	-45.7927100000000
252.016100000000	26.3688800000000	-53.5151600000000
200.320500000000	32.1410000000000	-62.4548600000000
158.005600000000	37.8232400000000	-70.9776100000000
125.558000000000	47.2998300000000	-84.3096400000000
99.7340000000000	56.8647600000000	-97.2003000000000
79.4491500000000	68.3590600000000	-110.307000000000
62.9194600000000	80.8152000000000	-125.955800000000
49.8670200000000	94.4988900000000	-143.011900000000
38.4221300000000	111.181600000000	-164.284200000000
31.2500000000000	125.407900000000	-183.427800000000
24.9335100000000	142.213700000000	-206.836300000000
20.0320500000000	159.030300000000	-233.214700000000
15.6250000000000	179.218500000000	-268.138700000000
12.4667500000000	198.864500000000	-305.620700000000
9.97340000000000	219.853200000000	-347.849000000000
7.97193900000000	242.846300000000	-393.952400000000
6.35162600000000	268.096300000000	-441.244400000000
5.01336900000000	295.938200000000	-487.617700000000
3.98596900000000	322.301300000000	-529.775900000000
3.17581300000000	348.529800000000	-567.205100000000
2.51610300000000	382.313800000000	-597.991800000000
1.99553000000000	411.888400000000	-611.949300000000
1.58790600000000	442.934500000000	-647.261400000000
1.25805200000000	472.841200000000	-678.127400000000
0.997765000000000	505.612500000000	-705.909400000000
0.792744800000000	536.284200000000	-730.653900000000
0.629025800000000	569.523100000000	-757.099300000000
0.498882500000000	604.966100000000	-788.648100000000
0.398596900000000	636.840300000000	-821.272900000000
0.316723000000000	679.118900000000	-841.203900000000
0.251475300000000	729.001500000000	-851.971700000000
0.199978700000000	778.745000000000	-862.635300000000
0.158790600000000	823.032600000000	-876.290800000000
0.126008100000000	870.719700000000	-870.228100000000
0.100160300000000	917.658100000000	-827.571600000000
