71
0.977999	0.0949353	1000020
0.999235	0.1169155	794355.5
1.018439	0.1437022	630996.1
1.04252	0.1627702	501269.5
1.058173	0.1902499	398144.5
1.087077	0.2122863	316230.5
1.112701	0.2485768	251191.4
1.138506	0.2836969	199628.9
1.162333	0.3260727	158496.1
1.192832	0.3742368	125918
1.223498	0.4408631	100019.5
1.25381	0.5143256	79511.72
1.292884	0.6072853	63105.47
1.336497	0.7205076	50214.84
1.387189	0.8588698	39902.34
1.449782	1.023593	31699.22
1.528879	1.230533	25136.72
1.623639	1.477013	19980.47
1.743052	1.763286	15878.91
1.891697	2.118044	12597.66
2.08711	2.522189	10019.53
2.327821	3.008781	7928.241
2.631795	3.563407	6307.871
2.991989	4.187892	5034.722
3.442332	4.926327	3993.056
4.005193	5.785324	3144.055
4.656139	6.72268	2519.531
5.46966	7.808003	2000.762
6.479918	9.054393	1580.669
7.688072	10.41305	1253.634
9.104134	11.85116	1000.702
10.88219	13.46286	790.0281
12.92697	15.08178	628.811
15.28298	16.699	502.2321
18.02426	18.2811	400.1524
21.28366	19.81506	315.5048
24.70806	21.05946	252.0161
28.49294	22.03405	200.3205
32.61593	22.65973	158.0056
36.72771	22.87867	125.558
40.82601	22.67964	99.734
44.76202	22.06118	79.44915
48.5258	21.1046	62.91946
52.02368	19.92081	49.86702
55.46872	18.35091	38.42213
57.8923	17.04841	31.25
60.17937	15.60858	24.93351
62.11119	14.28686	20.03205
63.97499	12.91556	15.625
65.46365	11.82417	12.46675
66.71451	10.89568	9.9734
67.7794	10.12689	7.971939
68.81348	9.54897	6.351626
69.75544	9.136705	5.013369
70.58598	8.943547	3.985969
71.35471	8.959091	3.175813
72.09241	9.095174	2.516103
72.73674	9.60787	1.99553
73.58142	10.41897	1.587906
74.38345	11.57201	1.258052
75.30835	13.09332	0.997765
76.25649	15.05442	0.7927448
77.31524	17.516	0.6290258
78.52972	20.58379	0.4988825
79.82533	24.20571	0.3985969
81.35248	28.71626	0.316723
83.12624	34.24449	0.2514753
85.03623	40.94582	0.1999787
87.29633	49.19781	0.1587906
90.29682	59.8569	0.1260081
94.61095	73.91827	0.1001603
