Voltaje	Corriente
0.789435	0.000419
0.779235	0.000398
0.769235	0.000380
0.759235	0.000365
0.749435	0.000350
0.739435	0.000336
0.729435	0.000323
0.719435	0.000311
0.709435	0.000299
0.699435	0.000287
0.689435	0.000276
0.679635	0.000265
0.669435	0.000254
0.659235	0.000244
0.649635	0.000235
0.639635	0.000225
0.629635	0.000216
0.619435	0.000207
0.609635	0.000198
0.599835	0.000190
0.589635	0.000181
0.579635	0.000173
0.569435	0.000165
0.559435	0.000157
0.549635	0.000149
0.539635	0.000142
0.529435	0.000135
0.519635	0.000128
0.509635	0.000121
0.499435	0.000115
0.489635	0.000108
0.479635	0.000102
0.469435	0.000096
0.459635	0.000090
0.449635	0.000085
0.439635	0.000079
0.429635	0.000074
0.419635	0.000068
0.409635	0.000063
0.399635	0.000058
0.390035	0.000052
0.379635	0.000048
0.369635	0.000044
0.359835	0.000039
0.349635	0.000034
0.339635	0.000030
0.329635	0.000026
0.319635	0.000022
0.309635	0.000018
0.299835	0.000015
0.289835	0.000011
0.279635	0.000008
0.269835	0.000004
0.260035	0.000001
0.249835	-0.000002
0.239835	-0.000005
0.229635	-0.000007
0.219835	-0.000010
0.209835	-0.000012
0.199835	-0.000015
0.189835	-0.000017
0.180035	-0.000020
0.169835	-0.000022
0.159835	-0.000024
0.149835	-0.000026
0.140035	-0.000029
0.130035	-0.000031
0.119835	-0.000033
0.110035	-0.000035
0.100035	-0.000037
0.089835	-0.000039
0.080035	-0.000041
0.070035	-0.000043
0.059835	-0.000044
0.050235	-0.000046
0.040035	-0.000047
0.029835	-0.000049
0.020035	-0.000051
0.010035	-0.000051
-0.000165	-0.000053
-0.009965	-0.000055
-0.019965	-0.000057
-0.030165	-0.000059
-0.040165	-0.000060
-0.049965	-0.000062
-0.059965	-0.000065
-0.069965	-0.000067
-0.079965	-0.000069
-0.089965	-0.000071
-0.099965	-0.000075
-0.109965	-0.000077
-0.119965	-0.000080
-0.129965	-0.000083
-0.139965	-0.000085
-0.149965	-0.000089
-0.159965	-0.000092
-0.169965	-0.000095
-0.179765	-0.000100
-0.189765	-0.000103
-0.199765	-0.000107
-0.209965	-0.000110
-0.219965	-0.000114
-0.229765	-0.000119
-0.239765	-0.000122
-0.249765	-0.000127
-0.259965	-0.000130
-0.269965	-0.000135
-0.279765	-0.000139
-0.289965	-0.000145
-0.299765	-0.000149
-0.309765	-0.000154
-0.319765	-0.000158
-0.329965	-0.000162
-0.339765	-0.000167
-0.349765	-0.000172
-0.359765	-0.000177
-0.369565	-0.000182
-0.379765	-0.000187
-0.389565	-0.000192
-0.399765	-0.000196
-0.409765	-0.000201
-0.419565	-0.000206
-0.429565	-0.000210
-0.439565	-0.000215
-0.449565	-0.000219
-0.459365	-0.000224
-0.469765	-0.000228
-0.479565	-0.000231
-0.489565	-0.000234
-0.499565	-0.000238
-0.509565	-0.000242
-0.519565	-0.000244
-0.529565	-0.000247
-0.539565	-0.000249
-0.549765	-0.000251
-0.559565	-0.000253
-0.569365	-0.000255
-0.579765	-0.000258
-0.589565	-0.000260
-0.599565	-0.000263
-0.609765	-0.000265
-0.619565	-0.000267
-0.629565	-0.000270
-0.639565	-0.000272
-0.649565	-0.000276
-0.659765	-0.000279
-0.669565	-0.000281
-0.679565	-0.000285
-0.689565	-0.000289
-0.699565	-0.000292
-0.709565	-0.000297
-0.719565	-0.000302
-0.729365	-0.000306
-0.739365	-0.000311
-0.749565	-0.000316
-0.759365	-0.000321
-0.769365	-0.000327
-0.779565	-0.000333
-0.789365	-0.000339
-0.799365	-0.000346
-0.789365	-0.000323
-0.779565	-0.000305
-0.769565	-0.000290
-0.759365	-0.000276
-0.749565	-0.000264
-0.739565	-0.000253
-0.729565	-0.000242
-0.719365	-0.000233
-0.709365	-0.000224
-0.699365	-0.000215
-0.689365	-0.000207
-0.679565	-0.000198
-0.669565	-0.000192
-0.659565	-0.000184
-0.649565	-0.000177
-0.639565	-0.000171
-0.629765	-0.000164
-0.619565	-0.000158
-0.609565	-0.000152
-0.599565	-0.000146
-0.589565	-0.000140
-0.579565	-0.000135
-0.569565	-0.000130
-0.559565	-0.000125
-0.549565	-0.000119
-0.539565	-0.000115
-0.529565	-0.000110
-0.519365	-0.000105
-0.509565	-0.000100
-0.499565	-0.000097
-0.489765	-0.000092
-0.479765	-0.000088
-0.469565	-0.000083
-0.459765	-0.000079
-0.449765	-0.000076
-0.439565	-0.000072
-0.429765	-0.000068
-0.419765	-0.000064
-0.409765	-0.000061
-0.399765	-0.000057
-0.389765	-0.000053
-0.379765	-0.000050
-0.369765	-0.000047
-0.359765	-0.000043
-0.349765	-0.000041
-0.339765	-0.000037
-0.329765	-0.000035
-0.319965	-0.000032
-0.309765	-0.000028
-0.299765	-0.000026
-0.289965	-0.000023
-0.279765	-0.000020
-0.269965	-0.000018
-0.259965	-0.000015
-0.249765	-0.000012
-0.239965	-0.000010
-0.229765	-0.000007
-0.219965	-0.000004
-0.209765	-0.000002
-0.199765	0.000001
-0.189965	0.000004
-0.179765	0.000006
-0.169965	0.000009
-0.159965	0.000011
-0.149965	0.000014
-0.139965	0.000016
-0.129965	0.000019
-0.119965	0.000022
-0.109965	0.000024
-0.099965	0.000027
-0.089765	0.000029
-0.079965	0.000032
-0.069965	0.000034
-0.060165	0.000037
-0.050165	0.000039
-0.039965	0.000041
-0.030165	0.000044
-0.020165	0.000046
-0.009765	0.000048
0.000035	0.000050
0.010035	0.000053
0.019835	0.000055
0.029835	0.000057
0.039835	0.000060
0.050035	0.000063
0.059835	0.000065
0.069835	0.000068
0.079835	0.000072
0.090035	0.000075
0.099635	0.000078
0.110035	0.000082
0.119835	0.000086
0.130035	0.000090
0.139835	0.000094
0.150035	0.000099
0.159835	0.000103
0.169835	0.000108
0.179835	0.000113
0.189835	0.000118
0.199835	0.000123
0.209835	0.000128
0.219835	0.000134
0.230035	0.000140
0.239835	0.000146
0.249635	0.000152
0.259835	0.000158
0.269835	0.000164
0.279835	0.000170
0.289635	0.000176
0.299835	0.000181
0.309635	0.000187
0.319835	0.000194
0.329635	0.000199
0.339835	0.000205
0.349635	0.000211
0.359835	0.000216
0.369835	0.000220
0.379635	0.000226
0.389635	0.000230
0.399635	0.000234
0.409635	0.000237
0.419635	0.000240
0.429635	0.000242
0.439635	0.000245
0.449635	0.000246
0.459635	0.000248
0.469635	0.000249
0.479835	0.000250
0.489635	0.000252
0.499635	0.000253
0.509435	0.000255
0.519435	0.000256
0.529635	0.000258
0.539435	0.000260
0.549635	0.000262
0.559435	0.000265
0.569635	0.000267
0.579435	0.000270
0.589435	0.000274
0.599635	0.000277
0.609635	0.000281
0.619435	0.000284
0.629635	0.000289
0.639435	0.000293
0.649635	0.000298
0.659435	0.000303
0.669435	0.000308
0.679635	0.000314
0.689435	0.000319
0.699435	0.000326
0.709435	0.000332
0.719235	0.000339
0.729435	0.000346
0.739235	0.000353
0.749235	0.000361
0.759435	0.000369
0.769435	0.000376
0.779435	0.000385
0.789435	0.000392
0.799435	0.000402
