Voltaje	Corriente
0.789435	0.000538
0.779435	0.000497
0.769235	0.000462
0.759235	0.000431
0.749435	0.000405
0.739235	0.000379
0.729435	0.000355
0.719435	0.000333
0.709435	0.000314
0.699435	0.000295
0.689635	0.000277
0.679635	0.000260
0.669435	0.000244
0.659435	0.000230
0.649435	0.000216
0.639435	0.000202
0.629435	0.000188
0.619435	0.000177
0.609635	0.000165
0.599435	0.000154
0.589635	0.000143
0.579435	0.000132
0.569435	0.000122
0.559435	0.000113
0.549435	0.000104
0.539435	0.000095
0.529435	0.000086
0.519635	0.000077
0.509435	0.000070
0.499635	0.000063
0.489435	0.000054
0.479435	0.000047
0.469635	0.000040
0.459435	0.000033
0.449635	0.000026
0.439635	0.000020
0.429635	0.000013
0.419435	0.000007
0.409635	0.000001
0.399635	-0.000005
0.389635	-0.000011
0.379635	-0.000016
0.369635	-0.000021
0.359835	-0.000027
0.349635	-0.000032
0.339835	-0.000037
0.329635	-0.000041
0.319635	-0.000046
0.309635	-0.000050
0.299635	-0.000055
0.290035	-0.000059
0.279635	-0.000064
0.269835	-0.000068
0.259635	-0.000071
0.249635	-0.000076
0.240035	-0.000080
0.229635	-0.000085
0.219835	-0.000089
0.209835	-0.000093
0.199835	-0.000096
0.189635	-0.000100
0.179635	-0.000106
0.169835	-0.000109
0.159835	-0.000112
0.149835	-0.000116
0.139835	-0.000121
0.129835	-0.000125
0.119835	-0.000129
0.109835	-0.000133
0.099835	-0.000137
0.089835	-0.000142
0.079835	-0.000145
0.069635	-0.000149
0.059835	-0.000153
0.050035	-0.000157
0.039835	-0.000161
0.029835	-0.000165
0.019835	-0.000169
0.009835	-0.000173
0.000035	-0.000176
-0.009965	-0.000180
-0.020165	-0.000183
-0.029965	-0.000187
-0.040165	-0.000190
-0.049965	-0.000193
-0.059965	-0.000198
-0.069965	-0.000201
-0.079965	-0.000205
-0.090165	-0.000208
-0.099965	-0.000211
-0.109965	-0.000214
-0.119965	-0.000218
-0.129965	-0.000222
-0.139765	-0.000225
-0.149965	-0.000229
-0.159965	-0.000232
-0.169965	-0.000236
-0.179765	-0.000239
-0.189765	-0.000243
-0.199965	-0.000246
-0.209965	-0.000250
-0.219965	-0.000255
-0.230165	-0.000260
-0.239965	-0.000263
-0.249765	-0.000268
-0.259965	-0.000273
-0.269965	-0.000276
-0.279765	-0.000281
-0.289965	-0.000285
-0.299965	-0.000291
-0.309765	-0.000295
-0.319765	-0.000300
-0.329765	-0.000305
-0.339765	-0.000309
-0.349765	-0.000314
-0.359965	-0.000318
-0.369765	-0.000323
-0.379765	-0.000329
-0.389765	-0.000334
-0.399765	-0.000338
-0.409765	-0.000343
-0.419765	-0.000348
-0.429565	-0.000351
-0.439765	-0.000356
-0.449765	-0.000361
-0.459765	-0.000366
-0.469965	-0.000370
-0.479565	-0.000375
-0.489765	-0.000379
-0.499765	-0.000384
-0.509565	-0.000388
-0.519765	-0.000393
-0.529565	-0.000398
-0.539765	-0.000402
-0.549565	-0.000407
-0.559765	-0.000411
-0.569765	-0.000417
-0.579565	-0.000420
-0.589765	-0.000426
-0.599565	-0.000431
-0.609565	-0.000436
-0.619765	-0.000441
-0.629765	-0.000445
-0.639765	-0.000451
-0.649565	-0.000456
-0.659565	-0.000462
-0.669565	-0.000467
-0.679565	-0.000473
-0.689565	-0.000478
-0.699565	-0.000485
-0.709565	-0.000490
-0.719565	-0.000497
-0.729565	-0.000503
-0.739765	-0.000510
-0.749565	-0.000517
-0.759365	-0.000524
-0.769565	-0.000531
-0.779565	-0.000539
-0.789565	-0.000546
-0.799565	-0.000555
-0.789365	-0.000501
-0.779565	-0.000460
-0.769365	-0.000426
-0.759365	-0.000396
-0.749565	-0.000370
-0.739365	-0.000346
-0.729365	-0.000325
-0.719765	-0.000305
-0.709765	-0.000287
-0.699565	-0.000269
-0.689565	-0.000254
-0.679565	-0.000238
-0.669565	-0.000223
-0.659565	-0.000210
-0.649565	-0.000198
-0.639565	-0.000185
-0.629565	-0.000174
-0.619565	-0.000163
-0.609765	-0.000152
-0.599765	-0.000142
-0.589765	-0.000132
-0.579765	-0.000123
-0.569565	-0.000114
-0.559565	-0.000105
-0.549765	-0.000097
-0.539565	-0.000090
-0.529965	-0.000082
-0.519765	-0.000075
-0.509765	-0.000068
-0.499565	-0.000061
-0.489765	-0.000054
-0.479965	-0.000048
-0.469765	-0.000043
-0.459565	-0.000036
-0.449765	-0.000030
-0.439765	-0.000025
-0.429765	-0.000019
-0.419965	-0.000014
-0.409765	-0.000009
-0.399965	-0.000004
-0.389965	0.000001
-0.379765	0.000007
-0.369965	0.000011
-0.359765	0.000016
-0.349965	0.000021
-0.339765	0.000025
-0.329765	0.000029
-0.319965	0.000034
-0.309965	0.000038
-0.299765	0.000042
-0.289965	0.000046
-0.279765	0.000051
-0.269965	0.000055
-0.259965	0.000059
-0.249965	0.000062
-0.239965	0.000066
-0.229965	0.000070
-0.219965	0.000074
-0.209965	0.000078
-0.199965	0.000081
-0.189965	0.000085
-0.179965	0.000089
