Voltaje	Corriente
0.789435	0.000710
0.779435	0.000657
0.769635	0.000613
0.759435	0.000573
0.749235	0.000538
0.739435	0.000506
0.729435	0.000476
0.719635	0.000448
0.709435	0.000421
0.699435	0.000397
0.689435	0.000373
0.679435	0.000351
0.669635	0.000330
0.659235	0.000311
0.649435	0.000291
0.639435	0.000275
0.629435	0.000257
0.619235	0.000241
0.609635	0.000225
0.599635	0.000210
0.589435	0.000195
0.579435	0.000182
0.569435	0.000169
0.559435	0.000156
0.549635	0.000144
0.539435	0.000131
0.529435	0.000120
0.519635	0.000109
0.509635	0.000099
0.499635	0.000088
0.489435	0.000077
0.479635	0.000067
0.469635	0.000058
0.459635	0.000049
0.449635	0.000040
0.439635	0.000031
0.429435	0.000023
0.419635	0.000015
0.409635	0.000007
0.399635	-0.000001
0.389635	-0.000009
0.379635	-0.000016
0.369835	-0.000023
0.359635	-0.000030
0.349835	-0.000037
0.339835	-0.000044
0.329635	-0.000050
0.319635	-0.000057
0.309635	-0.000063
0.299635	-0.000069
0.289635	-0.000075
0.279835	-0.000081
0.269635	-0.000087
0.259635	-0.000093
0.249635	-0.000098
0.239835	-0.000104
0.229835	-0.000110
0.219635	-0.000115
0.209835	-0.000120
0.199835	-0.000125
0.190035	-0.000131
0.179635	-0.000136
0.169835	-0.000142
0.159835	-0.000147
0.149635	-0.000152
0.139835	-0.000157
0.129835	-0.000162
0.119635	-0.000168
0.109635	-0.000172
0.099635	-0.000177
0.089835	-0.000181
0.079835	-0.000186
0.069835	-0.000191
0.059835	-0.000195
0.050035	-0.000200
0.040035	-0.000204
0.030035	-0.000209
0.019835	-0.000213
0.010035	-0.000217
0.000035	-0.000223
-0.009965	-0.000226
-0.019965	-0.000230
-0.030165	-0.000235
-0.039965	-0.000238
-0.050165	-0.000243
-0.060165	-0.000248
-0.069965	-0.000251
-0.080165	-0.000256
-0.089965	-0.000259
-0.099965	-0.000264
-0.110165	-0.000268
-0.119965	-0.000272
-0.129965	-0.000276
-0.139765	-0.000282
-0.150165	-0.000285
-0.159965	-0.000291
-0.169965	-0.000296
-0.180165	-0.000300
-0.189765	-0.000306
-0.199965	-0.000310
-0.209965	-0.000316
-0.219965	-0.000322
-0.229965	-0.000327
-0.239965	-0.000333
-0.249765	-0.000339
-0.259965	-0.000344
-0.269965	-0.000351
-0.279765	-0.000357
-0.289965	-0.000363
-0.299965	-0.000368
-0.309965	-0.000375
-0.319965	-0.000381
-0.329965	-0.000388
-0.339765	-0.000395
-0.349765	-0.000401
-0.359965	-0.000407
-0.369765	-0.000414
-0.379765	-0.000420
-0.389765	-0.000426
-0.399765	-0.000433
-0.409965	-0.000440
-0.419765	-0.000446
-0.429565	-0.000452
-0.439765	-0.000460
-0.449765	-0.000466
-0.459565	-0.000472
-0.469765	-0.000479
-0.479565	-0.000485
-0.489765	-0.000492
-0.499965	-0.000500
-0.509765	-0.000506
-0.519765	-0.000513
-0.529765	-0.000520
-0.539565	-0.000527
-0.549765	-0.000534
-0.559565	-0.000541
-0.569565	-0.000548
-0.579565	-0.000555
-0.589565	-0.000563
-0.599765	-0.000570
-0.609765	-0.000577
-0.619765	-0.000585
-0.629565	-0.000593
-0.639565	-0.000601
-0.649565	-0.000610
-0.659565	-0.000618
-0.669565	-0.000626
-0.679765	-0.000635
-0.689765	-0.000643
-0.699565	-0.000652
-0.709765	-0.000661
-0.719765	-0.000671
-0.729565	-0.000680
-0.739565	-0.000690
-0.749565	-0.000700
-0.759565	-0.000711
-0.769365	-0.000722
-0.779565	-0.000734
-0.789565	-0.000746
-0.799365	-0.000756
-0.789565	-0.000684
-0.779565	-0.000630
-0.769565	-0.000585
-0.759565	-0.000545
-0.749565	-0.000510
-0.739565	-0.000480
-0.729365	-0.000450
-0.719565	-0.000423
-0.709565	-0.000399
-0.699365	-0.000376
-0.689565	-0.000354
-0.679565	-0.000334
-0.669765	-0.000313
-0.659365	-0.000295
-0.649565	-0.000279
-0.639565	-0.000263
-0.629765	-0.000247
-0.619765	-0.000232
-0.609765	-0.000217
-0.599565	-0.000204
-0.589765	-0.000191
-0.579565	-0.000179
-0.569765	-0.000167
-0.559765	-0.000155
-0.549565	-0.000143
-0.539765	-0.000133
-0.529565	-0.000122
-0.519765	-0.000113
-0.509765	-0.000103
-0.499765	-0.000094
-0.489765	-0.000085
-0.479565	-0.000076
-0.469765	-0.000067
-0.459765	-0.000059
-0.449765	-0.000051
-0.439765	-0.000043
-0.429765	-0.000036
-0.419765	-0.000027
-0.409765	-0.000020
-0.399765	-0.000013
-0.389565	-0.000006
-0.379765	0.000001
-0.369765	0.000007
-0.359965	0.000014
-0.349965	0.000020
-0.339765	0.000027
-0.329965	0.000033
-0.319965	0.000039
-0.309965	0.000045
-0.299965	0.000051
-0.289765	0.000056
-0.280165	0.000062
-0.269965	0.000067
-0.259965	0.000073
-0.249965	0.000079
-0.239965	0.000084
-0.229965	0.000089
-0.219965	0.000095
-0.209965	0.000099
-0.199765	0.000104
-0.189765	0.000109
-0.179965	0.000115
-0.169965	0.000118
-0.159965	0.000124
-0.149965	0.000129
-0.139965	0.000133
-0.129965	0.000138
-0.120165	0.000142
-0.109965	0.000147
-0.099965	0.000152
-0.089965	0.000155
-0.079965	0.000161
-0.070165	0.000164
-0.060165	0.000170
-0.049965	0.000174
-0.039965	0.000180
-0.029965	0.000183
-0.020165	0.000189
-0.010365	0.000194
-0.000165	0.000199
0.009835	0.000203
0.019835	0.000208
0.029835	0.000213
0.040035	0.000218
0.049835	0.000223
0.059835	0.000227
0.069835	0.000233
0.079835	0.000238
0.089835	0.000243
0.099835	0.000248
0.109835	0.000254
0.119635	0.000259
0.129835	0.000264
0.139835	0.000270
0.149835	0.000276
0.159835	0.000282
0.169635	0.000288
0.180035	0.000294
0.189835	0.000300
0.200035	0.000307
0.209835	0.000314
0.219835	0.000320
0.229835	0.000327
0.239635	0.000335
0.249635	0.000342
0.259835	0.000348
0.269835	0.000355
0.279635	0.000362
0.289835	0.000370
0.299835	0.000377
0.309635	0.000384
0.319835	0.000392
0.329635	0.000399
0.339635	0.000406
0.349835	0.000412
0.359835	0.000420
0.369635	0.000427
0.379835	0.000434
0.389835	0.000441
0.399635	0.000448
0.409635	0.000455
0.419635	0.000462
0.429435	0.000468
0.439635	0.000475
0.449635	0.000482
0.459635	0.000489
0.469635	0.000495
0.479435	0.000502
0.489435	0.000509
0.499635	0.000516
0.509635	0.000522
0.519435	0.000530
0.529635	0.000537
0.539435	0.000544
0.549435	0.000551
0.559635	0.000558
0.569635	0.000566
0.579635	0.000573
0.589435	0.000580
0.599435	0.000588
0.609435	0.000597
0.619635	0.000605
0.629435	0.000613
0.639235	0.000620
0.649435	0.000629
0.659435	0.000638
0.669435	0.000647
0.679435	0.000655
0.689235	0.000664
0.699435	0.000673
0.709635	0.000683
0.719435	0.000693
0.729435	0.000702
0.739435	0.000712
0.749235	0.000722
0.759235	0.000733
0.769235	0.000743
0.779435	0.000755
0.789435	0.000766
0.799435	0.000776
