Voltaje	Corriente
0.789235	0.000181
0.779435	0.000166
0.769235	0.000154
0.759235	0.000143
0.749435	0.000133
0.739235	0.000124
0.729235	0.000117
0.719235	0.000110
0.709435	0.000104
0.699235	0.000096
0.689235	0.000091
0.679235	0.000085
0.669235	0.000082
0.659235	0.000076
0.649435	0.000073
0.639635	0.000068
0.629435	0.000063
0.619435	0.000060
0.609435	0.000056
0.599435	0.000053
0.589435	0.000049
0.579435	0.000045
0.569235	0.000043
0.559435	0.000039
0.549635	0.000037
0.539435	0.000034
0.529435	0.000032
0.519235	0.000029
0.509435	0.000026
0.499235	0.000024
0.489235	0.000022
0.479435	0.000019
0.469435	0.000018
0.459435	0.000015
0.449435	0.000013
0.439435	0.000011
0.429235	0.000009
0.419435	0.000008
0.409435	0.000006
0.399435	0.000004
0.389435	0.000003
0.379635	0.000001
0.369435	-0.000000
0.359835	-0.000002
0.349435	-0.000003
0.339435	-0.000005
0.329635	-0.000006
0.319635	-0.000008
0.309635	-0.000009
0.299435	-0.000010
0.289435	-0.000012
0.279635	-0.000013
0.269835	-0.000014
0.259635	-0.000015
0.249435	-0.000017
0.239835	-0.000018
0.229635	-0.000020
0.219635	-0.000021
0.209635	-0.000022
0.199635	-0.000023
0.189635	-0.000024
0.179635	-0.000026
0.169835	-0.000027
0.159635	-0.000029
0.149635	-0.000030
0.139835	-0.000031
0.129635	-0.000033
0.119835	-0.000034
0.109635	-0.000035
0.099635	-0.000037
0.089635	-0.000038
0.079835	-0.000039
0.069835	-0.000041
0.059635	-0.000042
0.049835	-0.000043
0.039835	-0.000044
0.029635	-0.000045
0.019835	-0.000047
0.009835	-0.000047
-0.000165	-0.000048
-0.010365	-0.000050
-0.020365	-0.000051
-0.030165	-0.000052
-0.040165	-0.000054
-0.050365	-0.000054
-0.060165	-0.000056
-0.070165	-0.000057
-0.080165	-0.000058
-0.090165	-0.000059
-0.100365	-0.000061
-0.109965	-0.000062
-0.120165	-0.000064
-0.130165	-0.000066
-0.140165	-0.000067
-0.149965	-0.000068
-0.160165	-0.000070
-0.170165	-0.000072
-0.180365	-0.000074
-0.190165	-0.000076
-0.200165	-0.000078
-0.210365	-0.000081
-0.219965	-0.000082
-0.230165	-0.000085
-0.240165	-0.000086
-0.249965	-0.000089
-0.260165	-0.000091
-0.269965	-0.000093
-0.279965	-0.000095
-0.289965	-0.000097
-0.300165	-0.000100
-0.309965	-0.000102
-0.320165	-0.000105
-0.329965	-0.000106
-0.339965	-0.000109
-0.350165	-0.000111
-0.359965	-0.000114
-0.369965	-0.000115
-0.379965	-0.000116
-0.389965	-0.000119
-0.399965	-0.000122
-0.409965	-0.000124
-0.419765	-0.000125
-0.429965	-0.000126
-0.439965	-0.000129
-0.449965	-0.000130
-0.459765	-0.000134
-0.469765	-0.000134
-0.479765	-0.000137
-0.489765	-0.000138
-0.499765	-0.000140
-0.509965	-0.000142
